label,pattern
DISEASE,"[{'LOWER': 'degenerative'}, {'LOWER': 'disc'}, {'LOWER': 'disease'}]"
DISEASE,[{'LOWER': 'diabetes'}]
DISEASE,"[{'LOWER': 'testicular'}, {'LOWER': 'cancer'}]"
DISEASE,"[{'LOWER': 'benign'}, {'LOWER': 'fasciculation'}, {'LOWER': 'syndrome'}]"
DISEASE,"[{'LOWER': 'chronic'}, {'LOWER': 'gastritis'}]"
DISEASE,[{'LOWER': 'anhedonia'}]
DISEASE,"[{'LOWER': 'mitral'}, {'LOWER': 'valve'}, {'LOWER': 'prolapse'}]"
DISEASE,[{'LOWER': 'hypothyroidism'}]
DISEASE,"[{'LOWER': 'pelvic'}, {'LOWER': 'organ'}, {'LOWER': 'prolapse'}]"
DISEASE,[{'LOWER': 'anemia'}]
DISEASE,"[{'LOWER': 'extensive'}, {'LOWER': 'endometriosis'}]"
DISEASE,"[{'LOWER': 'polycythemia'}, {'LOWER': 'vera'}]"
DISEASE,"[{'LOWER': 'mitochondrial'}, {'LOWER': 'myopathy'}]"
DISEASE,[{'LOWER': 'prediabetes'}]
DISEASE,[{'LOWER': 'migraine'}]
DISEASE,"[{'LOWER': 'myelodysplastic'}, {'LOWER': 'syndrome'}]"
DISEASE,"[{'LOWER': 'heat'}, {'LOWER': 'exhaustion'}]"
DISEASE,"[{'LOWER': 'ear'}, {'LOWER': 'infection'}]"
DISEASE,"[{'LOWER': 'varicose'}, {'LOWER': 'veins'}]"
DISEASE,[{'LOWER': 'perimenopause'}]
DISEASE,"[{'LOWER': 'necrotizing'}, {'LOWER': 'pneumonia'}]"
DISEASE,[{'LOWER': 'allergies'}]
DISEASE,[{'LOWER': 'aspergers'}]
DISEASE,"[{'LOWER': 'ovarian'}, {'LOWER': 'fibromatosis'}]"
DISEASE,"[{'LOWER': 'piriformis'}, {'LOWER': 'syndrome'}]"
DISEASE,[{'LOWER': 'dysautonomia'}]
DISEASE,[{'LOWER': 'hpv'}]
DISEASE,"[{'LOWER': 'yeast'}, {'LOWER': 'infections'}]"
DISEASE,"[{'LOWER': 'interatrial'}, {'LOWER': 'communication'}]"
DISEASE,[{'LOWER': 'herpes'}]
DISEASE,"[{'LOWER': 'ehlers'}, {'LOWER': 'danlos'}, {'LOWER': 'syndrome'}]"
DISEASE,"[{'LOWER': 'thoracic'}, {'LOWER': 'outlet'}, {'LOWER': 'syndrome'}]"
DISEASE,[{'LOWER': 'ibs'}]
DISEASE,"[{'LOWER': 'restless'}, {'LOWER': 'leg'}, {'LOWER': 'syndrome'}]"
DISEASE,[{'LOWER': 'mono'}]
DISEASE,"[{'LOWER': 'ulnar'}, {'LOWER': 'neuropathy'}]"
DISEASE,"[{'LOWER': 'scapula'}, {'LOWER': 'dyskinesis'}]"
DISEASE,"[{'LOWER': 'kidney'}, {'LOWER': 'stone'}]"
DISEASE,"[{'LOWER': 'cardiac'}, {'LOWER': 'arrhythmia'}]"
DISEASE,[{'LOWER': 'ptsd'}]
DISEASE,[{'LOWER': 'ocd'}]
DISEASE,"[{'LOWER': 'portal'}, {'LOWER': 'hypertension'}]"
DISEASE,[{'LOWER': 'fibroadenoma'}]
DISEASE,"[{'LOWER': 'silent'}, {'LOWER': 'reflux'}]"
DISEASE,[{'LOWER': 'ezcema'}]
DISEASE,"[{'LOWER': 'heart'}, {'LOWER': 'valve'}, {'LOWER': 'infection'}]"
DISEASE,[{'LOWER': 'hiv'}]
DISEASE,[{'LOWER': 'gerd'}]
DISEASE,[{'LOWER': 'rheumatism'}]
DISEASE,[{'LOWER': 'hemangioma'}]
DISEASE,"[{'LOWER': ""hashimoto's""}]"
DISEASE,"[{'LOWER': 'pulmonary'}, {'LOWER': 'hypertension'}]"
DISEASE,"[{'LOWER': 'chiriosis'}, {'LOWER': 'of'}, {'LOWER': 'the'}, {'LOWER': 'liver'}]"
DISEASE,[{'LOWER': 'autism'}]
SYMPTOM,"[{'LOWER': 'sharp'}, {'LOWER': 'abdominal'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'stings'}]
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'arms'}, {'LOWER': 'and'}, {'LOWER': 'legs'}]"
SYMPTOM,"[{'LOWER': 'skin'}, {'LOWER': 'kept'}, {'LOWER': 'bleeding'}]"
SYMPTOM,"[{'LOWER': 'problem'}, {'LOWER': 'breathing'}]"
SYMPTOM,"[{'LOWER': 'tingling'}, {'LOWER': 'pins'}, {'LOWER': 'and'}, {'LOWER': 'needles'}]"
SYMPTOM,"[{'LOWER': 'lasting'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'body'}, {'LOWER': 'ache'}]"
SYMPTOM,"[{'LOWER': 'blood'}, {'LOWER': 'clot'}]"
SYMPTOM,"[{'LOWER': 'white'}, {'LOWER': 'spots'}]"
SYMPTOM,"[{'LOWER': 'chest'}, {'LOWER': 'discomfort'}]"
SYMPTOM,"[{'LOWER': 'heart'}, {'LOWER': 'palpitations'}]"
SYMPTOM,"[{'LOWER': 'sodium'}, {'LOWER': 'was'}, {'LOWER': 'a'}, {'LOWER': 'little'}, {'LOWER': 'low'}]"
SYMPTOM,"[{'LOWER': 'loss'}, {'LOWER': 'of'}, {'LOWER': 'appetite'}]"
SYMPTOM,"[{'LOWER': 'sudden'}, {'LOWER': 'weight'}, {'LOWER': 'gain'}]"
SYMPTOM,"[{'LOWER': 'tore'}, {'LOWER': 'a'}, {'LOWER': 'ligament'}]"
SYMPTOM,"[{'LOWER': 'rotator'}, {'LOWER': 'cuff'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'chronic'}, {'LOWER': 'low'}, {'LOWER': 'iron'}]"
SYMPTOM,"[{'LOWER': 'anxiety'}, {'LOWER': 'attack'}]"
SYMPTOM,"[{'LOWER': 'mild'}, {'LOWER': 'regurgitation'}]"
SYMPTOM,"[{'LOWER': 'seizing'}, {'LOWER': 'out'}]"
SYMPTOM,"[{'LOWER': 'dark'}, {'LOWER': 'red'}, {'LOWER': 'bloody'}, {'LOWER': 'stool'}]"
SYMPTOM,[{'LOWER': 'nodding'}]
SYMPTOM,"[{'LOWER': 'lightly'}, {'LOWER': 'swollen'}]"
SYMPTOM,"[{'LOWER': 'dark'}, {'LOWER': 'red'}, {'LOWER': 'stool'}]"
SYMPTOM,"[{'LOWER': 'sticky'}, {'LOWER': 'stool'}]"
SYMPTOM,"[{'LOWER': 'swollen'}, {'LOWER': 'nodes'}]"
SYMPTOM,"[{'LOWER': 'heart'}, {'LOWER': 'started'}, {'LOWER': 'pumping'}, {'LOWER': 'extremely'}, {'LOWER': 'fast'}]"
SYMPTOM,[{'LOWER': 'bruised'}]
SYMPTOM,"[{'LOWER': 'breathing'}, {'LOWER': 'getting'}, {'LOWER': 'shallower'}]"
SYMPTOM,"[{'LOWER': 'chest'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'tension'}, {'LOWER': 'headaches'}]"
SYMPTOM,"[{'LOWER': 'chest'}, {'LOWER': 'was'}, {'LOWER': 'sore'}]"
SYMPTOM,[{'LOWER': 'pus'}]
SYMPTOM,[{'LOWER': 'lump'}]
SYMPTOM,"[{'LOWER': 'intrusive'}, {'LOWER': 'thoughts'}]"
SYMPTOM,"[{'LOWER': 'blood'}, {'LOWER': 'pressure'}, {'LOWER': 'severly'}, {'LOWER': 'drops'}]"
SYMPTOM,"[{'LOWER': 'low'}, {'LOWER': 'plalet'}, {'LOWER': 'count'}]"
SYMPTOM,"[{'LOWER': 'dry'}, {'LOWER': 'heave'}]"
SYMPTOM,"[{'LOWER': 'little'}, {'LOWER': 'fever'}]"
SYMPTOM,"[{'LOWER': 'focal'}, {'LOWER': 'asymmetries'}]"
SYMPTOM,"[{'LOWER': 'left'}, {'LOWER': 'atrial'}, {'LOWER': 'enlargement'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'all'}, {'LOWER': 'round'}, {'LOWER': 'my'}, {'LOWER': 'chest'}]"
SYMPTOM,"[{'LOWER': 'kidney'}, {'LOWER': 'stones'}]"
SYMPTOM,[{'LOWER': 'pressure'}]
SYMPTOM,"[{'LOWER': 'pin'}, {'LOWER': 'prick'}, {'LOWER': 'sensations'}]"
SYMPTOM,"[{'LOWER': 'vaginal'}, {'LOWER': 'bleeding'}]"
SYMPTOM,[{'LOWER': 'sleepwalking'}]
SYMPTOM,[{'LOWER': 'heartburn'}]
SYMPTOM,[{'LOWER': 'vomited'}]
SYMPTOM,"[{'LOWER': 'red'}, {'LOWER': 'pus'}]"
SYMPTOM,"[{'LOWER': 'fibroglandular'}, {'LOWER': 'densities'}]"
SYMPTOM,[{'LOWER': 'spasms'}]
SYMPTOM,"[{'LOWER': 'hair'}, {'LOWER': 'loss'}]"
SYMPTOM,"[{'LOWER': 'high'}, {'LOWER': 'heart'}, {'LOWER': 'rate'}]"
SYMPTOM,"[{'LOWER': 'fever'}, {'LOWER': 'up'}, {'LOWER': 'to'}, {'LOWER': '39c'}]"
SYMPTOM,"[{'LOWER': 'confusional'}, {'LOWER': 'migraine'}]"
SYMPTOM,[{'LOWER': 'scab'}]
SYMPTOM,"[{'LOWER': 'quadruple'}, {'LOWER': 'bypass'}]"
SYMPTOM,"[{'LOWER': 'extreme'}, {'LOWER': 'weakness,'}]"
SYMPTOM,"[{'LOWER': 'dislocated'}, {'LOWER': 'my'}, {'LOWER': 'ac'}, {'LOWER': 'joint'}]"
SYMPTOM,"[{'LOWER': 'multiple'}, {'LOWER': 'bypass'}, {'LOWER': 'surgeries'}]"
SYMPTOM,[{'LOWER': 'swelling'}]
SYMPTOM,"[{'LOWER': 'broken'}, {'LOWER': 'bones'}]"
SYMPTOM,"[{'LOWER': 'piercing'}, {'LOWER': 'sensation'}]"
SYMPTOM,"[{'LOWER': 'high'}, {'LOWER': 'blood'}, {'LOWER': 'pressure'}]"
SYMPTOM,[{'LOWER': 'sore'}]
SYMPTOM,[{'LOWER': 'sores'}]
SYMPTOM,"[{'LOWER': 'nerve'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'lower'}, {'LOWER': 'abdomen'}]"
SYMPTOM,"[{'LOWER': 'extreme'}, {'LOWER': 'weakness'}]"
SYMPTOM,"[{'LOWER': 'chronic'}, {'LOWER': 'avulsion'}, {'LOWER': 'fracture'}]"
SYMPTOM,"[{'LOWER': 'light'}, {'LOWER': 'headedness'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'bladder'}, {'LOWER': 'pelvis'}]"
SYMPTOM,"[{'LOWER': 'levels'}, {'LOWER': 'were'}, {'LOWER': 'low'}]"
SYMPTOM,"[{'LOWER': 'runny'}, {'LOWER': 'nose'}]"
SYMPTOM,"[{'LOWER': 'arm'}, {'LOWER': 'spasms'}]"
SYMPTOM,"[{'LOWER': 'continuous'}, {'LOWER': 'runny'}, {'LOWER': 'nose'}]"
SYMPTOM,"[{'LOWER': 'family'}, {'LOWER': 'history'}, {'LOWER': 'of'}, {'LOWER': 'cancers'}]"
SYMPTOM,"[{'LOWER': 'slight'}, {'LOWER': 'dizziness'}]"
SYMPTOM,"[{'LOWER': 'glucose'}, {'LOWER': 'intolerance'}]"
SYMPTOM,"[{'LOWER': 'dizzy'}, {'LOWER': 'spells'}]"
SYMPTOM,[{'LOWER': 'mucus'}]
SYMPTOM,[{'LOWER': 'allergies'}]
SYMPTOM,[{'LOWER': 'fatigue'}]
SYMPTOM,[{'LOWER': 'pain'}]
SYMPTOM,"[{'LOWER': 'chronic'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'reflux'}]
SYMPTOM,"[{'LOWER': 'menstrual'}, {'LOWER': 'cramps'}]"
SYMPTOM,"[{'LOWER': 'heart'}, {'LOWER': 'rate'}, {'LOWER': 'climbs'}, {'LOWER': 'higher'}]"
SYMPTOM,"[{'LOWER': 'faint'}, {'LOWER': 'red'}, {'LOWER': 'patch'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'horrific'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'bad'}, {'LOWER': 'gas'}]"
SYMPTOM,[{'LOWER': 'bump'}]
SYMPTOM,"[{'LOWER': 'fake'}, {'LOWER': 'vision'}]"
SYMPTOM,"[{'LOWER': 'circular'}, {'LOWER': 'firm'}, {'LOWER': 'bump'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'joint'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'slight'}, {'LOWER': 'tenderness'}]"
SYMPTOM,"[{'LOWER': 'weight'}, {'LOWER': 'loss'}]"
SYMPTOM,"[{'LOWER': 'panic'}, {'LOWER': 'attacks'}]"
SYMPTOM,"[{'LOWER': 'lump'}, {'LOWER': 'on'}, {'LOWER': 'upper'}, {'LOWER': 'arm'}]"
SYMPTOM,"[{'LOWER': 'sprained'}, {'LOWER': 'foot'}]"
SYMPTOM,"[{'LOWER': 'awful'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'body'}, {'LOWER': 'wide'}, {'LOWER': 'twitches'}]"
SYMPTOM,"[{'LOWER': 'acid'}, {'LOWER': 'reflux'}]"
SYMPTOM,[{'LOWER': 'bloated'}]
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'upper'}, {'LOWER': 'left'}, {'LOWER': 'arm'}]"
SYMPTOM,"[{'LOWER': 'levels'}, {'LOWER': 'were'}, {'LOWER': 'significantly'}, {'LOWER': 'high'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'the'}, {'LOWER': 'left'}, {'LOWER': 'testicle'}]"
SYMPTOM,[{'LOWER': 'bumps'}]
SYMPTOM,"[{'LOWER': 'brain'}, {'LOWER': 'fog'}]"
SYMPTOM,[{'LOWER': 'rashes'}]
SYMPTOM,"[{'LOWER': 'entire'}, {'LOWER': 'mid'}, {'LOWER': 'section'}, {'LOWER': 'pounding'}]"
SYMPTOM,[{'LOWER': 'bleeding'}]
SYMPTOM,"[{'LOWER': 'scabs'}, {'LOWER': 'have'}, {'LOWER': 'formed'}]"
SYMPTOM,"[{'LOWER': 'constant'}, {'LOWER': 'high'}, {'LOWER': 'fever'}]"
SYMPTOM,[{'LOWER': 'disoriented'}]
SYMPTOM,"[{'LOWER': 'elevated'}, {'LOWER': 'heart'}, {'LOWER': 'rate'}]"
SYMPTOM,"[{'LOWER': 'mild'}, {'LOWER': 'anxiety'}]"
SYMPTOM,"[{'LOWER': 'asian'}, {'LOWER': 'flush'}]"
SYMPTOM,"[{'LOWER': 'lack'}, {'LOWER': 'of'}, {'LOWER': 'breath'}]"
SYMPTOM,"[{'LOWER': 'heart'}, {'LOWER': 'failure'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'back'}, {'LOWER': 'and'}, {'LOWER': 'stomach'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'swollen'}, {'LOWER': 'and'}, {'LOWER': 'painful'}]"
SYMPTOM,[{'LOWER': 'suicidal'}]
SYMPTOM,[{'LOWER': 'dehydrated'}]
SYMPTOM,"[{'LOWER': 'swollen'}, {'LOWER': 'feeling'}]"
SYMPTOM,[{'LOWER': 'anxious'}]
SYMPTOM,"[{'LOWER': 'yellowish'}, {'LOWER': 'clear'}, {'LOWER': 'fluid'}]"
SYMPTOM,[{'LOWER': 'numb'}]
SYMPTOM,"[{'LOWER': 'calf'}, {'LOWER': 'cramp'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'lower'}, {'LOWER': 'back'}]"
SYMPTOM,[{'LOWER': 'concussion'}]
SYMPTOM,[{'LOWER': 'inflammation'}]
SYMPTOM,[{'LOWER': 'palpation'}]
SYMPTOM,[{'LOWER': 'diarrhoea'}]
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'sprain'}]"
SYMPTOM,[{'LOWER': 'gassy'}]
SYMPTOM,"[{'LOWER': 'i'}, {'LOWER': 'lost'}, {'LOWER': 'my'}, {'LOWER': 'voice'}]"
SYMPTOM,"[{'LOWER': 'family'}, {'LOWER': 'history'}, {'LOWER': 'of'}, {'LOWER': 'heart'}, {'LOWER': 'disease'}]"
SYMPTOM,"[{'LOWER': 'dry'}, {'LOWER': 'heaving'}]"
SYMPTOM,"[{'LOWER': 'great'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'sharp'}, {'LOWER': 'and'}, {'LOWER': 'intense'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'hypertension'}]
SYMPTOM,"[{'LOWER': 'sharp'}, {'LOWER': 'arm'}, {'LOWER': 'pains'}]"
SYMPTOM,"[{'LOWER': 'swollen'}, {'LOWER': 'lymph'}, {'LOWER': 'nodes'}]"
SYMPTOM,"[{'LOWER': 'leg'}, {'LOWER': 'pains'}]"
SYMPTOM,"[{'LOWER': 'intense'}, {'LOWER': 'chest'}, {'LOWER': 'pains'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'joints'}, {'LOWER': 'and'}, {'LOWER': 'non'}, {'LOWER': 'joints'}]"
SYMPTOM,"[{'LOWER': 'shortness'}, {'LOWER': 'of'}, {'LOWER': 'breathe'}]"
SYMPTOM,"[{'LOWER': 'tingling'}, {'LOWER': 'sensations'}]"
SYMPTOM,"[{'LOWER': 'vision'}, {'LOWER': 'gets'}, {'LOWER': 'blurry'}]"
SYMPTOM,"[{'LOWER': 'stinging'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'fatty'}, {'LOWER': 'stool'}]"
SYMPTOM,[{'LOWER': 'migraines'}]
SYMPTOM,[{'LOWER': 'thyroid'}]
SYMPTOM,"[{'LOWER': 'ear'}, {'LOWER': 'clogged'}]"
SYMPTOM,"[{'LOWER': 'left'}, {'LOWER': 'temple'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'sore'}, {'LOWER': 'throat'}]"
SYMPTOM,[{'LOWER': 'lightheadedness'}]
SYMPTOM,"[{'LOWER': 'vision'}, {'LOWER': 'suddenly'}, {'LOWER': 'worse'}]"
SYMPTOM,"[{'LOWER': 'cyst'}, {'LOWER': 'present'}, {'LOWER': 'on'}, {'LOWER': 'ovary'}]"
SYMPTOM,[{'LOWER': 'fatulence'}]
SYMPTOM,"[{'LOWER': 'sharp'}, {'LOWER': 'stinging'}, {'LOWER': 'pains'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'the'}, {'LOWER': 'back'}]"
SYMPTOM,"[{'LOWER': 'back'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'stiff'}, {'LOWER': 'and'}, {'LOWER': 'painful'}]"
SYMPTOM,"[{'LOWER': 'low'}, {'LOWER': 'grade'}, {'LOWER': 'partial'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'labral'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'foggy'}, {'LOWER': 'brained'}]"
SYMPTOM,"[{'LOWER': 'burning'}, {'LOWER': 'sensations'}]"
SYMPTOM,"[{'LOWER': 'extraordinarily'}, {'LOWER': 'fatigued'}]"
SYMPTOM,"[{'LOWER': 'horrible'}, {'LOWER': 'headache'}]"
SYMPTOM,"[{'LOWER': 'triple'}, {'LOWER': 'bypass'}]"
SYMPTOM,[{'LOWER': 'exhausted'}]
SYMPTOM,"[{'LOWER': 'abdominal'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'right'}, {'LOWER': 'upper'}, {'LOWER': 'arm'}]"
SYMPTOM,"[{'LOWER': 'impacted'}, {'LOWER': 'bottom'}, {'LOWER': 'wisdom'}, {'LOWER': 'tooth'}]"
SYMPTOM,"[{'LOWER': 'torn'}, {'LOWER': 'two'}, {'LOWER': 'of'}, {'LOWER': 'my'}, {'LOWER': 'ligaments'}]"
SYMPTOM,"[{'LOWER': 'heart'}, {'LOWER': 'is'}, {'LOWER': 'pounding'}]"
SYMPTOM,"[{'LOWER': 'mild'}, {'LOWER': 'edema'}]"
SYMPTOM,"[{'LOWER': 'abdominal'}, {'LOWER': 'cramps'}]"
SYMPTOM,"[{'LOWER': 'high'}, {'LOWER': 'platelets'}]"
SYMPTOM,"[{'LOWER': 'consistent'}, {'LOWER': 'heartburn'}]"
SYMPTOM,"[{'LOWER': 'burning'}, {'LOWER': 'hot'}, {'LOWER': 'sensation'}]"
SYMPTOM,[{'LOWER': 'numbness'}]
SYMPTOM,"[{'LOWER': 'chest'}, {'LOWER': 'feels'}, {'LOWER': 'heavily'}]"
SYMPTOM,"[{'LOWER': 'nose'}, {'LOWER': 'swollen'}, {'LOWER': 'inside'}]"
SYMPTOM,"[{'LOWER': 'allergy'}, {'LOWER': 'attack'}]"
SYMPTOM,"[{'LOWER': 'panick'}, {'LOWER': 'attack'}]"
SYMPTOM,"[{'LOWER': 'superior'}, {'LOWER': 'labrum'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'stomach'}, {'LOWER': 'virus'}]"
